Afrikaans - South Africa;436;1078;;Maandag;Dinsdag;Woensdag;Donderdag;Vrydag;Saterdag;Sondag;;Januarie;Februarie;Maart;April;Mei;Junie;Julie;Augustus;September;Oktober;November;Desember
Quecha - Peru;0C6B;3179;;Lunes;Martes;Miércoles;Jueves;Viernes;Sábado;Domingo;;Qulla puquy;Hatun puquy;Pauqar waray;ayriwa;Aymuray;Inti raymi;Anta Sitwa;Qhapaq Sitwa;Uma raymi;Kantaray;Ayamarq'a;Kapaq Raymi
Rhaeto-Romanic;417;1047;;glindesdi;mardi;mesemna;gievgia;venderdi;sonda;dumengia;;schaner;favrer;mars;avrigl;matg;zercladur;fanadur;avust;settember;october;november;december
Sami (Lappish);043b;1083;;vuossárga;maebárga;gaskavahkku;duorasdat;bearjadat;lávvardat;sotnabeaivi;;oajagemánnu;guovvamánnu;njukamánnu;cuoománnu;miessemánnu;geassemánnu;suoidnemánnu;borgemánnu;akamánnu;golggotmánnu;skábmamánnu;juovlamánnu
Scottish Gaelic;043c;1084;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Sepedi;046c;1132;;Musopologo;Labobedi;Laboraro;Labone;Labohlano;Mokibelo;Lamorena;;Janaware;Feberware;Matšhe;Aprele;Mei;June;Julae;Agostose;Setemere;Oktoboro;Nofemere;Disemere
Serbian (Latin);081a;2074;;ponedeljak;utorak;sreda;etvrtak;petak;subota;nedelja;;januar;februar;mart;april;maj;jun;jul;avgust;septembar;oktobar;novembar;decembar
Slovak;041b;1051;;pondelok;utorok;streda;štvrtok;piatok;sobota;nedea;;január;február;marec;apríl;máj;jún;júl;august;september;október;november;december
Slovenian;424;1060;;ponedeljek;torek;sreda;etrtek;petek;sobota;nedelja;;januar;februar;marec;april;maj;junij;julij;avgust;september;oktober;november;december
Somali;477;1143;;Isniin;Talaado;Arbaco;Khamiis;Jimco;Sabti;Axad;;Bisha Koobaad;Bisha Labaad;Bisha Saddexaad;Bisha Afraad;Bisha Shanaad;Bisha Lixaad;Bisha Todobaad;Bisha Sideedaad;Bisha Sagaalaad;Bisha Tobnaad;Bisha Kow iyo Tobnaad;Bisha Laba iyo Tobnaad
Sorbian;042e;1070;;póndela;wutora;srjeda;štwórtk;pjatk;sobota;njedela;;januar;februar;mrc;apryl;meja;junij;julij;awgust;september;oktober;nowember;december
Spanish - Spain (Modern Sort);0c0a;3082;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Spain (Traditional Sort);040a;1034;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Argentina;2c0a;11274;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
